LocationID,trip_count
132.0,95147
237.0,87913
161.0,86622
236.0,78946
162.0,66092
138.0,63939
186.0,63664
142.0,61871
230.0,61748
170.0,55140
163.0,54199
239.0,51949
234.0,50074
48.0,49560
68.0,48490
141.0,44373
79.0,44353
164.0,43385
249.0,41265
107.0,39205
140.0,36851
238.0,36159
229.0,35875
263.0,35789
246.0,31240
43.0,31074
100.0,30392
90.0,30134
113.0,25726
231.0,25066
262.0,24915
114.0,24699
233.0,23107
137.0,20245
143.0,20163
148.0,19200
144.0,16826
158.0,16293
151.0,14990
211.0,13911
50.0,11858
13.0,10910
75.0,10761
261.0,9780
87.0,9750
125.0,9183
166.0,8510
70.0,8246
88.0,4995
24.0,4749
41.0,4176
74.0,3780
209.0,3409
45.0,2585
224.0,2355
4.0,2205
232.0,2188
42.0,1491
116.0,1217
226.0,1160
65.0,1131
244.0,1092
152.0,1085
7.0,880
33.0,867
146.0,860
12.0,825
145.0,824
25.0,735
255.0,733
97.0,654
181.0,625
66.0,571
256.0,562
10.0,529
80.0,395
61.0,393
93.0,386
129.0,371
52.0,362
223.0,334
193.0,320
260.0,316
112.0,316
216.0,314
179.0,300
130.0,286
215.0,265
188.0,254
243.0,250
49.0,248
40.0,240
89.0,230
56.0,224
76.0,224
37.0,223
195.0,214
95.0,212
17.0,207
168.0,204
82.0,204
189.0,196
225.0,195
219.0,191
197.0,183
247.0,175
39.0,172
134.0,165
36.0,160
28.0,157
205.0,150
51.0,142
35.0,140
157.0,134
218.0,127
228.0,126
213.0,126
69.0,125
177.0,118
62.0,117
14.0,117
72.0,116
91.0,114
159.0,114
191.0,109
127.0,108
235.0,107
55.0,98
196.0,94
92.0,90
106.0,90
71.0,87
242.0,86
182.0,84
220.0,81
119.0,81
254.0,80
121.0,77
167.0,76
86.0,75
169.0,75
222.0,72
202.0,72
83.0,71
77.0,69
117.0,68
131.0,68
194.0,67
198.0,67
78.0,67
165.0,67
26.0,66
217.0,66
85.0,65
174.0,64
135.0,64
203.0,63
210.0,60
124.0,59
18.0,59
241.0,58
185.0,57
155.0,55
133.0,54
139.0,51
1.0,49
47.0,49
38.0,49
123.0,48
248.0,47
258.0,46
149.0,46
81.0,45
136.0,45
212.0,44
160.0,44
22.0,43
147.0,43
32.0,43
208.0,43
173.0,42
250.0,42
54.0,42
190.0,42
60.0,42
29.0,41
21.0,41
63.0,41
259.0,39
126.0,38
122.0,37
200.0,37
19.0,35
94.0,34
108.0,33
257.0,33
3.0,32
227.0,32
34.0,30
180.0,29
102.0,28
20.0,27
67.0,27
9.0,26
53.0,25
175.0,25
23.0,24
16.0,24
207.0,24
154.0,24
11.0,24
192.0,23
171.0,23
6.0,23
252.0,22
98.0,22
150.0,20
201.0,18
101.0,17
73.0,15
153.0,15
120.0,14
15.0,14
64.0,13
31.0,12
183.0,12
178.0,11
44.0,9
5.0,9
214.0,8
240.0,6
128.0,6
204.0,4
8.0,4
253.0,3
58.0,3
206.0,3
46.0,3
96.0,3
184.0,2
2.0,2
118.0,2
59.0,2
111.0,2
199.0,2
115.0,1
245.0,1
27.0,1
84.0,1
187.0,1
251.0,1
172.0,1
156.0,1
